index,agency,numOfPositions,businessTitle,jobCategory,newLat,newLong,borough,salaryRangeTo,salaryRangeFrom,salaryFrequency,zip,jobCatCondensed
398,NYC EMPLOYEES RETIREMENT SYS,1,ADMINISTRATIVE PROCUREMENT ANALYST,Administration & Human Resources,40.6934634,-73.9882453,Brooklyn,125000.0,100000.0,Annual,11201.0,Other
399,DEPARTMENT OF TRANSPORTATION,2,Engineering Director,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",40.7033226,-74.00889620000001,Manhattan,104182.0,74990.0,Annual,10041.0,Managerial and Professional
400,DEPARTMENT OF TRANSPORTATION,2,Engineering Director,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",40.7033226,-74.00889620000001,Manhattan,104182.0,74990.0,Annual,10041.0,Managerial and Professional
401,DEPARTMENT OF TRANSPORTATION,1,Design Senior Engineer,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",40.7033226,-74.00889620000001,Manhattan,104182.0,74990.0,Annual,10041.0,Managerial and Professional
402,DEPARTMENT OF TRANSPORTATION,1,Design Senior Engineer,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",40.7033226,-74.00889620000001,Manhattan,104182.0,74990.0,Annual,10041.0,Managerial and Professional
403,DEPARTMENT OF TRANSPORTATION,1,Quality Control Senior Engineer,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",40.7033226,-74.00889620000001,Manhattan,104182.0,74990.0,Annual,10041.0,Managerial and Professional
404,DEPARTMENT OF TRANSPORTATION,1,Quality Control Senior Engineer,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",40.7033226,-74.00889620000001,Manhattan,104182.0,74990.0,Annual,10041.0,Managerial and Professional
405,DEPARTMENT OF TRANSPORTATION,1,Engineer - Pedestrian Ramp Enforcement Unit,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",40.7033226,-74.00889620000001,Manhattan,104182.0,74990.0,Annual,10041.0,Managerial and Professional
406,DEPARTMENT OF TRANSPORTATION,1,Engineer - Pedestrian Ramp Enforcement Unit,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",40.7033226,-74.00889620000001,Manhattan,104182.0,74990.0,Annual,10041.0,Managerial and Professional
407,DEPARTMENT OF TRANSPORTATION,1,Metrics and Reporting Engineer,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",40.7033226,-74.00889620000001,Manhattan,91347.0,63074.0,Annual,10041.0,Managerial and Professional
408,DEPARTMENT OF TRANSPORTATION,1,Metrics and Reporting Engineer,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",40.7033226,-74.00889620000001,Manhattan,91347.0,63074.0,Annual,10041.0,Managerial and Professional
409,LAW DEPARTMENT,2,Personnel Associate,Administration & Human Resources Legal Affairs,40.713299299999996,-74.0101098,Manhattan,74479.0,58152.0,Annual,10007.0,Other
410,LAW DEPARTMENT,2,Personnel Associate,Administration & Human Resources Legal Affairs,40.713299299999996,-74.0101098,Manhattan,74479.0,58152.0,Annual,10007.0,Other
411,DEPARTMENT OF TRANSPORTATION,1,EEO Investigator,"Administration & Human Resources Policy, Research & Analysis",40.7087357,-74.0081164,Manhattan,89638.0,58716.0,Annual,10038.0,Other
412,DEPARTMENT OF TRANSPORTATION,1,EEO Investigator,"Administration & Human Resources Policy, Research & Analysis",40.7087357,-74.0081164,Manhattan,89638.0,58716.0,Annual,10038.0,Other
413,DEPT OF ENVIRONMENT PROTECTION,1,ASSISTANT PROJECT MANAGER,"Engineering, Architecture, & Planning Technology, Data & Innovation",40.734879600000006,-73.86348939999998,Queens,79726.0,53134.0,Annual,11373.0,Other
414,DEPT OF ENVIRONMENT PROTECTION,1,ASSISTANT PROJECT MANAGER,"Engineering, Architecture, & Planning Technology, Data & Innovation",40.734879600000006,-73.86348939999998,Queens,79726.0,53134.0,Annual,11373.0,Other
415,DEPT OF HEALTH/MENTAL HYGIENE,1,Desktop Support Technician,"Technology, Data & Innovation",40.7383514,-73.97570259999998,Manhattan,65938.0,57337.0,Annual,10016.0,Other
416,DEPT OF HEALTH/MENTAL HYGIENE,1,Desktop Support Technician,"Technology, Data & Innovation",40.7383514,-73.97570259999998,Manhattan,65938.0,57337.0,Annual,10016.0,Other
417,DEPT OF ENVIRONMENT PROTECTION,1,Budget Analyst,"Finance, Accounting, & Procurement",40.7348102,-73.8644434,Queens,74479.0,53134.0,Annual,11373.0,Other
418,DEPT OF ENVIRONMENT PROTECTION,1,Budget Analyst,"Finance, Accounting, & Procurement",40.7348102,-73.8644434,Queens,74479.0,53134.0,Annual,11373.0,Other
419,LAW DEPARTMENT,80,ASSISTANT CORPORATION COUNSEL,Legal Affairs,40.713299299999996,-74.0101098,Manhattan,68494.0,68494.0,Annual,10007.0,Other
420,LAW DEPARTMENT,80,ASSISTANT CORPORATION COUNSEL,Legal Affairs,40.713299299999996,-74.0101098,Manhattan,68494.0,68494.0,Annual,10007.0,Other
421,DISTRICT ATTORNEY KINGS COUNTY,1,SENIOR RACKETS INVESTIGATOR,"Public Safety, Inspections, & Enforcement",40.693526500000004,-73.98764820000001,Brooklyn,83591.0,58478.0,Annual,11201.0,Managerial and Professional
422,DEPARTMENT OF CORRECTION,25,Investigator,"Public Safety, Inspections, & Enforcement",40.7645473,-73.89321269999998,Queens,54147.0,47084.0,Annual,11370.0,Managerial and Professional
423,DEPARTMENT OF CORRECTION,25,Investigator,"Public Safety, Inspections, & Enforcement",40.7645473,-73.89321269999998,Queens,54147.0,47084.0,Annual,11370.0,Managerial and Professional
424,DEPARTMENT OF BUSINESS SERV.,1,BUILDING INSPECTOR,Constituent Services & Community Programs,40.7087931,-74.0068363,Manhattan,80996.0,56794.0,Annual,10038.0,Service
425,DEPARTMENT OF BUSINESS SERV.,1,BUILDING INSPECTOR,Constituent Services & Community Programs,40.7087931,-74.0068363,Manhattan,80996.0,56794.0,Annual,10038.0,Service
426,DEPT OF HEALTH/MENTAL HYGIENE,6,Criminalist III,Health,40.7383514,-73.97570259999998,Manhattan,76516.0,76516.0,Annual,10016.0,Other
427,DEPT OF ENVIRONMENT PROTECTION,2,Watershed Maintainer,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",40.697968599999996,-73.96055009999998,Brooklyn,55870.0,38197.0,Annual,11205.0,Managerial and Professional
428,DEPT OF ENVIRONMENT PROTECTION,2,Watershed Maintainer,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",40.697968599999996,-73.96055009999998,Brooklyn,55870.0,38197.0,Annual,11205.0,Managerial and Professional
429,DEPT OF ENVIRONMENT PROTECTION,1,"Senior Policy Advisor, Energy Finance and Affordability","Policy, Research & Analysis",40.7134096,-74.00752309999999,Manhattan,105000.0,54643.0,Annual,10007.0,Other
430,DEPT OF ENVIRONMENT PROTECTION,1,"Senior Policy Advisor, Energy Finance and Affordability","Policy, Research & Analysis",40.7134096,-74.00752309999999,Manhattan,105000.0,54643.0,Annual,10007.0,Other
431,DEPT OF HEALTH/MENTAL HYGIENE,1,Forensic Logistics Specialist,Communications & Intergovernmental Affairs,40.7383514,-73.97570259999998,Manhattan,78177.0,50362.0,Annual,10016.0,Other
432,DEPT OF HEALTH/MENTAL HYGIENE,1,Forensic Logistics Specialist,Communications & Intergovernmental Affairs,40.7383514,-73.97570259999998,Manhattan,78177.0,50362.0,Annual,10016.0,Other
433,DEPARTMENT OF BUSINESS SERV.,1,COMPLIANCE AUDITOR,Constituent Services & Community Programs,40.7087931,-74.0068363,Manhattan,70000.0,53134.0,Annual,10038.0,Service
434,DEPARTMENT OF BUSINESS SERV.,1,COMPLIANCE AUDITOR,Constituent Services & Community Programs,40.7087931,-74.0068363,Manhattan,70000.0,53134.0,Annual,10038.0,Service
435,ADMIN FOR CHILDREN'S SVCS,1,Court Liaison Officer,Legal Affairs,40.7096402,-74.0057361,Manhattan,54720.0,51315.0,Annual,10038.0,Other
436,DEPT OF ENVIRONMENT PROTECTION,2,Associate Water Use Inspector II,"Health Building Operations & Maintenance Public Safety, Inspections, & Enforcement",40.734879600000006,-73.86348939999998,Queens,73039.0,57148.0,Annual,11373.0,Managerial and Professional
437,DEPT OF ENVIRONMENT PROTECTION,1,Engineering Technician I,"Public Safety, Inspections, & Enforcement",40.734879600000006,-73.86348939999998,Queens,47016.0,36239.0,Annual,11373.0,Managerial and Professional
438,DEPT OF ENVIRONMENT PROTECTION,1,Engineering Technician I,"Public Safety, Inspections, & Enforcement",40.734879600000006,-73.86348939999998,Queens,47016.0,36239.0,Annual,11373.0,Managerial and Professional
439,DEPT OF ENVIRONMENT PROTECTION,4,Procurement Analyst II,"Finance, Accounting, & Procurement",40.734879600000006,-73.86348939999998,Queens,76677.0,47450.0,Annual,11373.0,Other
440,DEPT OF HEALTH/MENTAL HYGIENE,1,"Supervising Health Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",Health,40.7024295,-73.8079068,Queens,73576.0,73576.0,Annual,11435.0,Other
441,DEPT OF ENVIRONMENT PROTECTION,1,Stationary Engineer (Electric),"Engineering, Architecture, & Planning",40.847041,-73.9313437,Manhattan,363.92,363.92,Daily,10033.0,Other
442,DEPT OF ENVIRONMENT PROTECTION,1,Stationary Engineer (Electric),"Engineering, Architecture, & Planning",40.847041,-73.9313437,Manhattan,363.92,363.92,Daily,10033.0,Other
443,DEPT OF ENVIRONMENT PROTECTION,3,Health & Safety Specialist,"Public Safety, Inspections, & Enforcement",40.734879600000006,-73.86348939999998,Queens,87443.0,56261.0,Annual,11373.0,Managerial and Professional
444,DEPT OF ENVIRONMENT PROTECTION,3,Health & Safety Specialist,"Public Safety, Inspections, & Enforcement",40.734879600000006,-73.86348939999998,Queens,87443.0,56261.0,Annual,11373.0,Managerial and Professional
445,DEPT OF ENVIRONMENT PROTECTION,1,Bureau Chief Contracting Officer,"Finance, Accounting, & Procurement",40.734879600000006,-73.86348939999998,Queens,156793.0,58675.0,Annual,11373.0,Other
446,DEPT OF INFO TECH & TELECOMM,1,"Director, Enterprise SaaS Solutions Delivery","Technology, Data & Innovation",40.693364,-73.9857147,Brooklyn,150000.0,54643.0,Annual,11201.0,Other
447,DEPT OF HEALTH/MENTAL HYGIENE,1,Senior Payment Analyst,Administration & Human Resources,40.7383514,-73.97570259999998,Manhattan,75000.0,52143.0,Annual,10016.0,Other
448,DEPT OF HEALTH/MENTAL HYGIENE,1,Senior Payment Analyst,Administration & Human Resources,40.7383514,-73.97570259999998,Manhattan,75000.0,52143.0,Annual,10016.0,Other
449,DEPT OF INFO TECH & TELECOMM,1,"Manager, IT Inventory Management","Technology, Data & Innovation",40.694028,-73.98394990000001,Brooklyn,100000.0,79471.0,Annual,11201.0,Other
450,DEPT OF ENVIRONMENT PROTECTION,1,Associate Water Use Inspector II- Brooklyn,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",40.69088410000001,-73.98461590000001,Brooklyn,73039.0,57148.0,Annual,11201.0,Managerial and Professional
451,DEPT OF ENVIRONMENT PROTECTION,1,Associate Water Use Inspector I-Universal Metering,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",40.7348102,-73.8644434,Queens,70213.0,56114.0,Annual,11373.0,Managerial and Professional
452,DEPT OF ENVIRONMENT PROTECTION,1,Senior Counsel,Legal Affairs,40.7348102,-73.8644434,Queens,150371.0,54643.0,Annual,11373.0,Other
453,DEPT OF ENVIRONMENT PROTECTION,1,Senior Counsel,Legal Affairs,40.7348102,-73.8644434,Queens,150371.0,54643.0,Annual,11373.0,Other
454,DEPARTMENT OF TRANSPORTATION,2,Traffic Device Maintainer,"Public Safety, Inspections, & Enforcement",40.72764300000001,-73.937443,Brooklyn,59534.0,45270.0,Annual,11222.0,Managerial and Professional
455,DEPARTMENT OF TRANSPORTATION,2,Traffic Device Maintainer,"Public Safety, Inspections, & Enforcement",40.72764300000001,-73.937443,Brooklyn,59534.0,45270.0,Annual,11222.0,Managerial and Professional
456,DEPT OF ENVIRONMENT PROTECTION,2,Budget Analyst,"Finance, Accounting, & Procurement",40.7348102,-73.8644434,Queens,65000.0,52143.0,Annual,11373.0,Other
457,DEPT OF ENVIRONMENT PROTECTION,2,Budget Analyst,"Finance, Accounting, & Procurement",40.7348102,-73.8644434,Queens,65000.0,52143.0,Annual,11373.0,Other
458,DEPT OF ENVIRONMENT PROTECTION,1,Landscape Architect,"Engineering, Architecture, & Planning",40.7316928,-73.9462305,Brooklyn,91347.0,63074.0,Annual,11222.0,Other
459,DEPT OF ENVIRONMENT PROTECTION,1,Landscape Architect,"Engineering, Architecture, & Planning",40.7316928,-73.9462305,Brooklyn,91347.0,63074.0,Annual,11222.0,Other
460,DEPT OF ENVIRONMENT PROTECTION,1,"Supervisor, Construction & Performance","Engineering, Architecture, & Planning",40.7348102,-73.8644434,Queens,86238.0,74990.0,Annual,11373.0,Other
461,DEPT OF ENVIRONMENT PROTECTION,1,"Supervisor, Construction & Performance","Engineering, Architecture, & Planning",40.7348102,-73.8644434,Queens,86238.0,74990.0,Annual,11373.0,Other
462,TAXI & LIMOUSINE COMMISSION,4,Outreach Intern,"Policy, Research & Analysis",40.705097200000004,-74.01207099999998,Manhattan,17.9,13.5,Hourly,10004.0,Other
463,TAXI & LIMOUSINE COMMISSION,4,Outreach Intern,"Policy, Research & Analysis",40.705097200000004,-74.01207099999998,Manhattan,17.9,13.5,Hourly,10004.0,Other
464,DEPT OF HEALTH/MENTAL HYGIENE,1,"Central Office Supervising Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",Health,40.7472946,-73.94433049999998,Queens,78429.0,78429.0,Annual,11120.0,Other
465,DEPT OF HEALTH/MENTAL HYGIENE,1,"Supervising Health Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",Health,40.603871000000005,-73.9559,Brooklyn,73576.0,73576.0,Annual,11229.0,Other
466,DEPT OF INFO TECH & TELECOMM,1,Information Security Identity & Access Manager,"Technology, Data & Innovation",40.693364,-73.9857147,Brooklyn,140000.0,54643.0,Annual,11201.0,Other
467,DEPT OF ENVIRONMENT PROTECTION,8,Clerical Associate III,Communications & Intergovernmental Affairs,40.665278,-73.80603099999998,Queens,54879.0,33875.0,Annual,11430.0,Other
468,DEPT OF ENVIRONMENT PROTECTION,8,Clerical Associate III,Communications & Intergovernmental Affairs,40.665278,-73.80603099999998,Queens,54879.0,33875.0,Annual,11430.0,Other
469,DEPT OF ENVIRONMENT PROTECTION,8,Clerical Associate III,Communications & Intergovernmental Affairs,40.665278,-73.80603099999998,Queens,54879.0,33875.0,Annual,11430.0,Other
470,NYC HOUSING AUTHORITY,1,Environmental Specialist,"Public Safety, Inspections, & Enforcement",33.449613899999996,-112.07979099999999,Queens,91347.0,63074.0,Annual,85003.0,Managerial and Professional
471,NYC HOUSING AUTHORITY,1,Environmental Specialist,"Public Safety, Inspections, & Enforcement",33.449613899999996,-112.07979099999999,Queens,91347.0,63074.0,Annual,85003.0,Managerial and Professional
472,NYC EMPLOYEES RETIREMENT SYS,1,UNIT MANAGER,"Technology, Data & Innovation",40.6934634,-73.9882453,Brooklyn,140000.0,125000.0,Annual,11201.0,Other
473,NYC EMPLOYEES RETIREMENT SYS,1,UNIT MANAGER,"Technology, Data & Innovation",40.6934634,-73.9882453,Brooklyn,140000.0,125000.0,Annual,11201.0,Other
474,DEPARTMENT OF BUSINESS SERV.,1,"EXECUTIVE DIRECTOR, CONSTRUCTION SAFETY TRAINING",Constituent Services & Community Programs,40.7087931,-74.0068363,Manhattan,100000.0,67060.0,Annual,10038.0,Service
475,DEPARTMENT OF BUSINESS SERV.,1,"EXECUTIVE DIRECTOR, CONSTRUCTION SAFETY TRAINING",Constituent Services & Community Programs,40.7087931,-74.0068363,Manhattan,100000.0,67060.0,Annual,10038.0,Service
476,DEPT OF ENVIRONMENT PROTECTION,1,PROCUREMENT SPECIALIST,"Administration & Human Resources Technology, Data & Innovation",40.734879600000006,-73.86348939999998,Queens,76677.0,47450.0,Annual,11373.0,Other
477,DEPT OF ENVIRONMENT PROTECTION,1,PROCUREMENT SPECIALIST,"Administration & Human Resources Technology, Data & Innovation",40.734879600000006,-73.86348939999998,Queens,76677.0,47450.0,Annual,11373.0,Other
478,DEPT OF HEALTH/MENTAL HYGIENE,1,Motor Vehicle Operator,Health,40.7383514,-73.97570259999998,Manhattan,46476.0,37200.0,Annual,10016.0,Other
479,DEPT OF ENVIRONMENT PROTECTION,2,Civil Engineer II,"Engineering, Architecture, & Planning",40.734879600000006,-73.86348939999998,Queens,86238.0,74990.0,Annual,11373.0,Other
480,DEPT OF ENVIRONMENT PROTECTION,2,Civil Engineer II,"Engineering, Architecture, & Planning",40.734879600000006,-73.86348939999998,Queens,86238.0,74990.0,Annual,11373.0,Other
481,DEPT OF HEALTH/MENTAL HYGIENE,16,"HEAT Health Navigator, Office of Executive Deputy Commissioner/Mental Hygiene",Social Services,40.7134096,-74.00752309999999,Manhattan,78177.0,50362.0,Annual,10007.0,Service
482,DEPT OF HEALTH/MENTAL HYGIENE,16,"HEAT Health Navigator, Office of Executive Deputy Commissioner/Mental Hygiene",Social Services,40.7134096,-74.00752309999999,Manhattan,78177.0,50362.0,Annual,10007.0,Service
483,DEPT OF ENVIRONMENT PROTECTION,1,"Director, Business Enterprise Systems","Engineering, Architecture, & Planning",40.734879600000006,-73.86348939999998,Queens,194395.0,75338.0,Annual,11373.0,Other
484,DEPT OF ENVIRONMENT PROTECTION,1,"Director, Business Enterprise Systems","Engineering, Architecture, & Planning",40.734879600000006,-73.86348939999998,Queens,194395.0,75338.0,Annual,11373.0,Other
485,DEPT OF ENVIRONMENT PROTECTION,1,Watershed Maintainer,Building Operations & Maintenance,40.6940612,-73.787419,Queens,55870.0,38197.0,Annual,11433.0,Operatives and Laborers
486,DEPT OF ENVIRONMENT PROTECTION,1,Watershed Maintainer,Building Operations & Maintenance,40.6940612,-73.787419,Queens,55870.0,38197.0,Annual,11433.0,Operatives and Laborers
487,POLICE DEPARTMENT,2,Investigator Trainee,"Administration & Human Resources Public Safety, Inspections, & Enforcement",40.736596999999996,-73.98319509999999,Manhattan,42505.0,30028.0,Annual,10010.0,Managerial and Professional
488,DEPT OF ENVIRONMENT PROTECTION,2,Human Resources Generalist,Administration & Human Resources,40.7348102,-73.8644434,Queens,71794.0,56798.0,Annual,11373.0,Other
489,DEPT OF ENVIRONMENT PROTECTION,1,Director of Recruitment,Administration & Human Resources,40.7348102,-73.8644434,Queens,85000.0,78000.0,Annual,11373.0,Other
490,DEPT OF ENVIRONMENT PROTECTION,2,INSTRUMENTATION SPECIALIST I,"Engineering, Architecture, & Planning",40.7348102,-73.8644434,Queens,51765.0,49934.0,Annual,11373.0,Other
491,DEPT OF ENVIRONMENT PROTECTION,2,INSTRUMENTATION SPECIALIST I,"Engineering, Architecture, & Planning",40.7348102,-73.8644434,Queens,51765.0,49934.0,Annual,11373.0,Other
492,LAW DEPARTMENT,2,Designated Felony Assistant Corporation Counsel,Legal Affairs,40.826746899999996,-73.92069459999998,The Bronx,94092.0,79079.0,Annual,10451.0,Other
493,DEPARTMENT OF TRANSPORTATION,1,ASSISTANT HIGHWAY TRANSPORTATION SPECIALIST,"Engineering, Architecture, & Planning",40.744136299999994,-73.930965,Queens,67556.0,45919.0,Annual,11101.0,Other
494,DEPARTMENT OF TRANSPORTATION,1,ASSISTANT HIGHWAY TRANSPORTATION SPECIALIST,"Engineering, Architecture, & Planning",40.744136299999994,-73.930965,Queens,67556.0,45919.0,Annual,11101.0,Other
495,DEPT OF HEALTH/MENTAL HYGIENE,4,Clerical Associate III,Health,40.7383514,-73.97570259999998,Manhattan,54879.0,33875.0,Annual,10016.0,Other
496,DEPT OF ENVIRONMENT PROTECTION,1,POLICY ADVISOR,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Engineering, Architecture, & Planning Policy, Research & Analysis",40.7134096,-74.00752309999999,Manhattan,88213.0,83000.0,Annual,10007.0,Service
497,DEPT OF ENVIRONMENT PROTECTION,1,POLICY ADVISOR,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Engineering, Architecture, & Planning Policy, Research & Analysis",40.7134096,-74.00752309999999,Manhattan,88213.0,83000.0,Annual,10007.0,Service
498,DEPARTMENT OF TRANSPORTATION,1,PARKING ANALYST ASSISTANT,"Policy, Research & Analysis",40.744136299999994,-73.930965,Queens,67556.0,45919.0,Annual,11101.0,Other
499,DEPARTMENT OF TRANSPORTATION,1,PARKING ANALYST ASSISTANT,"Policy, Research & Analysis",40.744136299999994,-73.930965,Queens,67556.0,45919.0,Annual,11101.0,Other
500,NYC HOUSING AUTHORITY,1,Financial Planning Senior Analyst,"Policy, Research & Analysis",32.8620412,-96.8110543,Queens,101848.0,69491.0,Annual,75225.0,Other
501,NYC HOUSING AUTHORITY,1,Financial Planning Senior Analyst,"Policy, Research & Analysis",32.8620412,-96.8110543,Queens,101848.0,69491.0,Annual,75225.0,Other
502,DEPT OF ENVIRONMENT PROTECTION,1,Director of Legislative Affairs,Communications & Intergovernmental Affairs,40.7348102,-73.8644434,Queens,140000.0,100000.0,Annual,11373.0,Other
503,DEPT OF ENVIRONMENT PROTECTION,1,DEPUTY PORTFOLIO MANAGER,"Engineering, Architecture, & Planning",40.734879600000006,-73.86348939999998,Queens,178873.0,67060.0,Annual,11373.0,Other
504,DEPT OF ENVIRONMENT PROTECTION,1,DEPUTY PORTFOLIO MANAGER,"Engineering, Architecture, & Planning",40.734879600000006,-73.86348939999998,Queens,178873.0,67060.0,Annual,11373.0,Other
505,DEPT OF ENVIRONMENT PROTECTION,1,Watershed Maintainer,"Public Safety, Inspections, & Enforcement",40.6150542,-74.10562469999998,Staten Island,55870.0,38197.0,Annual,10301.0,Managerial and Professional
506,DEPT OF ENVIRONMENT PROTECTION,1,Watershed Maintainer,"Public Safety, Inspections, & Enforcement",40.6150542,-74.10562469999998,Staten Island,55870.0,38197.0,Annual,10301.0,Managerial and Professional
507,DEPT OF ENVIRONMENT PROTECTION,1,MACHINIST,Building Operations & Maintenance,40.7348102,-73.8644434,Queens,40.3,34.63,Hourly,11373.0,Operatives and Laborers
508,DEPT OF ENVIRONMENT PROTECTION,1,MACHINIST,Building Operations & Maintenance,40.7348102,-73.8644434,Queens,40.3,34.63,Hourly,11373.0,Operatives and Laborers
509,DEPT OF ENVIRONMENT PROTECTION,1,"Accountable Manager, Resiliency Coordination and I&I Initiatives","Engineering, Architecture, & Planning Technology, Data & Innovation",40.734879600000006,-73.86348939999998,Queens,136023.0,49990.0,Annual,11373.0,Other
510,DEPT OF ENVIRONMENT PROTECTION,1,"Accountable Manager, Resiliency Coordination and I&I Initiatives","Engineering, Architecture, & Planning Technology, Data & Innovation",40.734879600000006,-73.86348939999998,Queens,136023.0,49990.0,Annual,11373.0,Other
511,DEPT OF ENVIRONMENT PROTECTION,1,"Accountable Manager, Resiliency Coordination and I&I Initiatives","Engineering, Architecture, & Planning Technology, Data & Innovation",40.734879600000006,-73.86348939999998,Queens,113725.0,83887.0,Annual,11373.0,Other
512,DEPT OF ENVIRONMENT PROTECTION,1,"Accountable Manager, Resiliency Coordination and I&I Initiatives","Engineering, Architecture, & Planning Technology, Data & Innovation",40.734879600000006,-73.86348939999998,Queens,113725.0,83887.0,Annual,11373.0,Other
513,DEPT OF HEALTH/MENTAL HYGIENE,6,Forensic Pathology Technician,Health,40.7383514,-73.97570259999998,Manhattan,61357.0,46056.0,Annual,10016.0,Other
514,DEPT OF HEALTH/MENTAL HYGIENE,6,Forensic Pathology Technician,Health,40.7383514,-73.97570259999998,Manhattan,61357.0,46056.0,Annual,10016.0,Other
515,DEPT OF ENVIRONMENT PROTECTION,1,ePMIS Solutions Manager,"Engineering, Architecture, & Planning Technology, Data & Innovation",40.734879600000006,-73.86348939999998,Queens,104364.0,68289.0,Annual,11373.0,Other
516,DEPT OF ENVIRONMENT PROTECTION,1,ePMIS Solutions Manager,"Engineering, Architecture, & Planning Technology, Data & Innovation",40.734879600000006,-73.86348939999998,Queens,104364.0,68289.0,Annual,11373.0,Other
517,DEPT OF ENVIRONMENT PROTECTION,2,Civil Engineer I,"Engineering, Architecture, & Planning",40.734879600000006,-73.86348939999998,Queens,72535.0,63074.0,Annual,11373.0,Other
518,DEPT OF ENVIRONMENT PROTECTION,2,Civil Engineer I,"Engineering, Architecture, & Planning",40.734879600000006,-73.86348939999998,Queens,72535.0,63074.0,Annual,11373.0,Other
519,DEPARTMENT OF BUSINESS SERV.,1,DATA AND OPERATIONS ANALYST,Constituent Services & Community Programs,40.7087931,-74.0068363,Manhattan,60000.0,50362.0,Annual,10038.0,Service
520,DEPARTMENT OF BUSINESS SERV.,1,DATA AND OPERATIONS ANALYST,Constituent Services & Community Programs,40.7087931,-74.0068363,Manhattan,60000.0,50362.0,Annual,10038.0,Service
521,ADMIN FOR CHILDREN'S SVCS,1,Eligibility Coordinator / Adoption Liaison,"Finance, Accounting, & Procurement",40.7096402,-74.0057361,Manhattan,59183.0,49390.0,Annual,10038.0,Other
522,DEPT OF ENVIRONMENT PROTECTION,1,Engineering Technician I,"Public Safety, Inspections, & Enforcement",40.734879600000006,-73.86348939999998,Queens,41675.0,36239.0,Annual,11373.0,Managerial and Professional
523,DEPT OF ENVIRONMENT PROTECTION,1,Engineering Technician I,"Public Safety, Inspections, & Enforcement",40.734879600000006,-73.86348939999998,Queens,41675.0,36239.0,Annual,11373.0,Managerial and Professional
524,DEPARTMENT OF PROBATION,1,On-Line Learning Instructional Design Specialist,Communications & Intergovernmental Affairs,40.705097200000004,-74.01207099999998,Manhattan,78177.0,50362.0,Annual,10004.0,Other
525,DEPARTMENT OF PROBATION,1,On-Line Learning Instructional Design Specialist,Communications & Intergovernmental Affairs,40.705097200000004,-74.01207099999998,Manhattan,78177.0,50362.0,Annual,10004.0,Other
526,DEPARTMENT OF BUSINESS SERV.,1,"DIRECTOR, HIGHER EDUCATION",Constituent Services & Community Programs,40.7087931,-74.0068363,Manhattan,150371.0,54643.0,Annual,10038.0,Service
527,DEPARTMENT OF BUSINESS SERV.,1,"DIRECTOR, HIGHER EDUCATION",Constituent Services & Community Programs,40.7087931,-74.0068363,Manhattan,150371.0,54643.0,Annual,10038.0,Service
528,OFFICE OF THE COMPTROLLER,1,Senior Financial Reporting Investment Analyst,"Finance, Accounting, & Procurement",40.712830600000004,-74.00371489999998,Manhattan,95000.0,80000.0,Annual,10007.0,Other
529,OFFICE OF THE COMPTROLLER,1,Senior Financial Reporting Investment Analyst,"Finance, Accounting, & Procurement",40.712830600000004,-74.00371489999998,Manhattan,95000.0,80000.0,Annual,10007.0,Other
530,OFFICE OF MANAGEMENT & BUDGET,3,ANALYSTS  ADMINISTRATIVE AGENCIES,"Finance, Accounting, & Procurement Policy, Research & Analysis",40.7143284,-74.01091439999998,Manhattan,58162.0,43618.0,Annual,10007.0,Other
531,OFFICE OF MANAGEMENT & BUDGET,3,ANALYSTS  ADMINISTRATIVE AGENCIES,"Finance, Accounting, & Procurement Policy, Research & Analysis",40.7143284,-74.01091439999998,Manhattan,58162.0,43618.0,Annual,10007.0,Other
532,DEPARTMENT OF PROBATION,1,Buyer,"Finance, Accounting, & Procurement",40.705097200000004,-74.01207099999998,Manhattan,65360.0,38534.0,Annual,10004.0,Other
533,DEPARTMENT OF PROBATION,1,Buyer,"Finance, Accounting, & Procurement",40.705097200000004,-74.01207099999998,Manhattan,65360.0,38534.0,Annual,10004.0,Other
534,DEPT OF ENVIRONMENT PROTECTION,1,Associate Project Manager,"Engineering, Architecture, & Planning",40.697968599999996,-73.96055009999998,Brooklyn,91347.0,63074.0,Annual,11205.0,Other
535,DEPT OF ENVIRONMENT PROTECTION,1,Associate Project Manager,"Engineering, Architecture, & Planning",40.697968599999996,-73.96055009999998,Brooklyn,91347.0,63074.0,Annual,11205.0,Other
